・000006\1868_ruby_shosetsu_soron.txt(15,6): ※［＃小書き片仮名ン、237-11］
・000008\47386_ruby_zoku_seikatsuno_tankyu.txt(2409,17): ※［＃「卓＋戈」、U+39B8］
・000009\45340_ruby_ango_butojinno_nazo.txt(327,104): ※［＃「りっしんべん＋巧」、126-1］
・000019\4376_ruby_sokkyo_shijin.txt(66,347): ※［＃「てへん＋參」、10-下段-6］
・000019\4376_ruby_sokkyo_shijin.txt(67,107): ※［＃「金＋表」、10-下段-13］
・000019\4376_ruby_sokkyo_shijin.txt(82,919): ※［＃「てへん＋諂のつくり」、13-下-25］
・000019\4376_ruby_sokkyo_shijin.txt(251,666): ※［＃「曷＋毛」、37-下段-28］
・000019\4376_ruby_sokkyo_shijin.txt(290,434): ※［＃「金＋表」、44-下段-7］
・000019\4376_ruby_sokkyo_shijin.txt(304,314): ※［＃「巾＋兌」、47-下段-24］
・000019\4376_ruby_sokkyo_shijin.txt(319,602): ※［＃「金＋表」、51-中段-7］
・000019\4376_ruby_sokkyo_shijin.txt(337,676): ※［＃「女＋貔のつくり」、55-中段-5］
・000019\4376_ruby_sokkyo_shijin.txt(341,651): ※［＃「巾＋兌」、56-下段-1］
・000019\4376_ruby_sokkyo_shijin.txt(342,261): ※［＃「巾＋兌」、56-下段-12］
・000019\4376_ruby_sokkyo_shijin.txt(411,406): ※［＃「革＋室」、67-下段-23］
・000019\4376_ruby_sokkyo_shijin.txt(449,554): ※［＃「巾＋兌」、74-上段-18］
・000019\4376_ruby_sokkyo_shijin.txt(459,527): ※［＃「巾＋兌」、75-中段-15］
・000019\4376_ruby_sokkyo_shijin.txt(471,165): ※［＃「金＋表」、76-下段-22］
・000019\4376_ruby_sokkyo_shijin.txt(486,359): ※［＃「穀」の「禾」に代えて「黄」、78-上段-27］
・000019\4376_ruby_sokkyo_shijin.txt(589,303): ※［＃「てへん＋長」、93-上段-4］
・000019\4376_ruby_sokkyo_shijin.txt(589,333): ※［＃「てへん＋長」、93-上段-4］
・000019\4376_ruby_sokkyo_shijin.txt(601,133): ※［＃「口＋（虍／乎）」、95-中段-6］
・000019\4376_ruby_sokkyo_shijin.txt(614,38): ※［＃「てへん＋參」、97-下段-3］
・000019\4376_ruby_sokkyo_shijin.txt(616,27): ※［＃「土へん＋曼」、98-上段-29］
・000019\4376_ruby_sokkyo_shijin.txt(617,2656): ※［＃「丞／己」、99-下段-16］
・000019\4376_ruby_sokkyo_shijin.txt(651,117): ※［＃「目＋炎」、104-下段-29］
・000019\4376_ruby_sokkyo_shijin.txt(658,147): ※［＃「てへん＋（掌の手に代えて牙）」、105-中段-20］
・000019\4376_ruby_sokkyo_shijin.txt(668,399): ※［＃「てへん＋參」、107-上段-22］
・000019\4376_ruby_sokkyo_shijin.txt(683,134): ※［＃「女＋貔のつくり」、110-上段-20］
・000019\4376_ruby_sokkyo_shijin.txt(756,112): ※［＃「こざとへん＋匚＜夾」、119-上17］
・000019\4376_ruby_sokkyo_shijin.txt(777,379): ※［＃「口＋罅のつくり」、122-上段-20］
・000019\4376_ruby_sokkyo_shijin.txt(779,189): ※［＃「穴／（瓜＋瓜）」、122-中段-15］
・000019\4376_ruby_sokkyo_shijin.txt(793,262): ※［＃「てへん＋參」、125-上段-13］
・000019\4376_ruby_sokkyo_shijin.txt(838,479): ※［＃「馬＋央」、131-上段-13］
・000019\4376_ruby_sokkyo_shijin.txt(847,281): ※［＃「※［＃第4水準2-13-74］ 」の「斤」に代えて「りっとう」、132-中段-24］
・000019\4376_ruby_sokkyo_shijin.txt(882,311): ※［＃「女＋貔のつくり」、138-上段-6］
・000019\4376_ruby_sokkyo_shijin.txt(910,45): ※［＃「まいらせそろ」の草書体文字、144-上-6］
・000019\4376_ruby_sokkyo_shijin.txt(910,380): ※［＃「まいらせそろ」の草書体文字、144-上-20］
・000019\4376_ruby_sokkyo_shijin.txt(910,564): ※［＃「まいらせそろ」の草書体文字、144-上-26］
・000019\4376_ruby_sokkyo_shijin.txt(910,638): ※［＃「まいらせそろ」の草書体文字、144-上-29］
・000019\4376_ruby_sokkyo_shijin.txt(910,3328): ※［＃「まいらせそろ」の草書体文字、145-中-19］
・000019\4376_ruby_sokkyo_shijin.txt(914,26): ※［＃「まいらせそろ」の草書体文字、145-中-25］
・000019\4376_ruby_sokkyo_shijin.txt(914,102): ※［＃「まいらせそろ」の草書体文字、145-中-27］
・000019\4376_ruby_sokkyo_shijin.txt(914,342): ※［＃「まいらせそろ」の草書体文字、145-下-8］
・000019\4376_ruby_sokkyo_shijin.txt(914,408): ※［＃「まいらせそろ」の草書体文字、145-下-10］
・000019\4376_ruby_sokkyo_shijin.txt(914,567): ※［＃「まいらせそろ」の草書体文字、145-下-15］
・000019\4376_ruby_sokkyo_shijin.txt(914,725): ※［＃「まいらせそろ」の草書体文字、145-下-21］
・000019\4376_ruby_sokkyo_shijin.txt(914,806): ※［＃「まいらせそろ」の草書体文字、145-下-23］
・000019\4376_ruby_sokkyo_shijin.txt(926,105): ※［＃巾＋兌］
・000020\401_ruby_iwan.txt(15,4): ※［＃「羨」の「さんずい」に代えて「冫」、95-16］
・000020\401_ruby_iwan.txt(31,26): ※［＃「羨」の「さんずい」に代えて「冫」、95-16］
・000020\401_ruby_iwan.txt(100,241): ※［＃「口＋（一／牙）」、101-17］
・000020\4486_ruby_junengono_eigakai.txt(15,4): ※［＃「さんずい＋石」、324-13］
・000020\4486_ruby_junengono_eigakai.txt(26,158): ※［＃「さんずい＋石」、324-13］
・000020\949_ruby_zogeno_hai.txt(106,62): ※［＃「身＋応」、42-5］
・000023\1698_ruby_shukuzu.txt(1398,260): ※［＃小書き片仮名ソ、427-下-8］
・000025\1111_ruby_umareizuru_nayami.txt(274,47): ※［＃「仝」の「工」に代えて「サ」、屋号を示す記号、75-9］
・000025\1143_ruby_oyako.txt(15,4): ※［＃「足へん＋徙」、173-12］
・000025\1143_ruby_oyako.txt(26,124): ※［＃「足へん＋徙」、173-12］
・000025\202_ruby_02aru_onna_kohen.txt(665,25): ※［＃感嘆符三つ、131-15］
・000025\216_ruby_seiza.txt(596,78): ※［＃小書き片仮名ヰ、272-上-3］
・000025\216_ruby_seiza.txt(599,102): ※［＃小書き片仮名ヰ、272-上-18］
・000025\216_ruby_seiza.txt(599,156): ※［＃小書き片仮名ヰ、272-上-20］
・000025\216_ruby_seiza.txt(600,64): ※［＃小書き片仮名ヰ、272-下-2］
・000025\216_ruby_seiza.txt(607,23): ※［＃小書き片仮名ヰ、273-上-21］
・000025\216_ruby_seiza.txt(629,47): ※［＃小書き片仮名ヰ、275-下-9］
・000025\216_ruby_seiza.txt(629,139): ※［＃小書き片仮名ヰ、275-下-12］
・000025\216_ruby_seiza.txt(898,7): ※［＃小書き片仮名ヰ、304-上-4］
・000025\216_ruby_seiza.txt(997,63): ※［＃「けものへん＋非」、314-上-2］
・000026\50231_ruby_shito_sono_dento.txt(15,4): ※［＃小書き片仮名ン、40-5］
・000026\50231_ruby_shito_sono_dento.txt(19,102): ※［＃小書き片仮名ン、40-5］
・000026\50231_ruby_shito_sono_dento.txt(20,39): ※［＃小書き片仮名ン、40-9］
・000026\50245_ruby_shoshiron.txt(13,4): ※［＃小書き片仮名ヱ、107-9］
・000026\50245_ruby_shoshiron.txt(31,200): ※［＃小書き片仮名ヱ、107-9］
・000026\50245_ruby_shoshiron.txt(34,360): ※［＃小書き片仮名ヱ、108-6］
・000026\50257_ruby_yomoyamano_hanashi.txt(12,4): ※［＃小書き片仮名ヱ、55-10］
・000026\50257_ruby_yomoyamano_hanashi.txt(58,19): ※［＃小書き片仮名ヱ、55-10］
・000026\55627_ruby_omoidasu_makinoshin'ichi.txt(12,4): ※［＃小書き片仮名タ、71-9］
・000026\55627_ruby_omoidasu_makinoshin'ichi.txt(22,7): ※［＃小書き片仮名タ、71-9］
・000026\55739_ruby_torisutan_korubieruo_shokaisu.txt(12,4): ※［＃小書き片仮名ヱ、125-3］
・000026\55739_ruby_torisutan_korubieruo_shokaisu.txt(20,57): ※［＃小書き片仮名ヱ、125-3］
・000026\55739_ruby_torisutan_korubieruo_shokaisu.txt(49,160): ※［＃感嘆符三つ、128-4］
・000026\894_ruby_yagino_uta.txt(81,5): ※［＃「曾＋りっとう」、17-6］
・000027\1461_ruby_kikobunkano_mure.txt(51,54): ※［＃「雨／鶴」、第3水準1-93-74、75-9］
・000027\1461_ruby_kikobunkano_mure.txt(51,577): ※［＃「雨／鶴」、第3水準1-93-74、76-6］
・000027\221_ruby_azusagawano_joryu.txt(15,4): ※［＃「皺」の「皮」に代えて「俊のつくり」、145-14］
・000027\221_ruby_azusagawano_joryu.txt(27,65): ※［＃「皺」の「皮」に代えて「俊のつくり」、145-14］
・000027\523_ruby_kozanno_yuki.txt(15,4): ※［＃「雨かんむり／毎」、346-2］
・000027\523_ruby_kozanno_yuki.txt(39,384): ※［＃「雨かんむり／毎」、346-2］
・000031\49183_ruby_rogokuno_hannichi.txt(12,4): ※［＃「虫＋條」、41-13］
・000031\49183_ruby_rogokuno_hannichi.txt(168,20): ※［＃「虫＋條」、41-13］
・000031\863_ruby_umini_ikuru_hitobito.txt(863,45): ※［＃「Ｌ」を180度回転させた形、142-9］
・000035\1583_ruby_fushinan.txt(14,4): ※［＃「にんべん＋總のつくり」、389-10］
・000035\1583_ruby_fushinan.txt(18,393): ※［＃「にんべん＋總のつくり」、389-10］
・000035\286_ruby_kotenfu.txt(15,4): ※［＃「りっしんべん＋發」、345-19］
・000035\286_ruby_kotenfu.txt(122,73): ※［＃「りっしんべん＋發」、345-19］
・000035\299_ruby_mojin_dokusho.txt(15,4): ※［＃「凵＜茲」、355-17］
・000035\299_ruby_mojin_dokusho.txt(30,71): ※［＃「凵＜茲」、355-17］
・000035\299_ruby_mojin_dokusho.txt(31,9): ※［＃「凵＜茲」、356-5］
・000035\299_ruby_mojin_dokusho.txt(31,85): ※［＃「凵＜茲」、356-6］
・000035\299_ruby_mojin_dokusho.txt(31,250): ※［＃「凵＜茲」、356-10］
・000035\299_ruby_mojin_dokusho.txt(31,453): ※［＃「凵＜茲」、356-14］
・000035\299_ruby_mojin_dokusho.txt(31,660): ※［＃「凵＜茲」、357-1］
・000038\1410_ruby_eno_kanashimi_kyu.txt(15,4): ※［＃「圖」の「回」に代えて「面から一、二画目をとったもの」、466-8］
・000038\1410_ruby_eno_kanashimi_kyu.txt(28,89): ※［＃「圖」の「回」に代えて「面から一、二画目をとったもの」、466-8］
・000038\1410_ruby_eno_kanashimi_kyu.txt(30,121): ※［＃「圖」の「回」に代えて「面から一、二画目をとったもの」、467-4］
・000040\1326_ruby_wagamachi.txt(221,7): ※［＃「※」はＬ型の直角線］
・000040\1326_ruby_wagamachi.txt(698,15): ※［＃「奚＋隹」、第3水準1-93-66、64-2］
・000040\380_ruby_horo.txt(15,4): ※［＃「（「Γ」を左右反転したもの）＜又」、屋号を示す記号、114-上-6］
・000040\380_ruby_horo.txt(66,250): ※［＃「（「Γ」を左右反転したもの）＜又」、屋号を示す記号、114-上-6］
・000040\46304_ruby_shinkei.txt(12,5): ※［＃小書き濁点付き片仮名カ、321-上-4］
・000040\46304_ruby_shinkei.txt(17,59): ※［＃小書き濁点付き片仮名カ、321-上-4］
・000040\46304_ruby_shinkei.txt(17,176): ※［＃小書き濁点付き片仮名カ、321-上-7］
・000040\46304_ruby_shinkei.txt(148,3): ※［＃小書き濁点付き片仮名カ、331-上-14］
・000040\46304_ruby_shinkei.txt(148,43): ※［＃小書き濁点付き片仮名カ、331-上-14］
・000040\53806_ruby_horo.txt(12,4): ※［＃「（「Γ」を左右反転したもの）＜又」、屋号を示す記号、123-3］
・000040\53806_ruby_horo.txt(72,239): ※［＃「（「Γ」を左右反転したもの）＜又」、屋号を示す記号、123-3］
・000042\2345_ruby_hikakugengogaku.txt(15,4): ※［＃「ｉ」の左側と下側を線で囲った記号、187-9］
・000042\2345_ruby_hikakugengogaku.txt(128,37): ※［＃「ｉ」の左側と下側を線で囲った記号、187-9］
・000042\24401_ruby_berlin_daigaku.txt(22,158): ※［＃ローマ数字1909、272-3］
・000042\24401_ruby_berlin_daigaku.txt(64,58): ※［＃ローマ数字1909、272-3］
・000042\2455_ruby_biboroku.txt(15,5): ※［＃「門＜兒」、146-13］
・000042\2455_ruby_biboroku.txt(112,82): ※［＃「門＜兒」、146-13］
・000042\2504_ruby_jiyu_gako.txt(222,122): ※［＃「金＋截」、134-1］
・000042\43252_ruby_kkara_qmade.txt(15,9): ※［＃変体仮名く、181-5］
・000042\43252_ruby_kkara_qmade.txt(25,122): ※［＃変体仮名く、181-5］
・000048\376_ruby_harupinno_ichiya.txt(169,117): ※［＃「口＋斗」、30-5］
・000048\376_ruby_harupinno_ichiya.txt(181,25): ※［＃「口＋斗」、33-1］
・000048\43464_ruby_yume.txt(21,117): ※［＃「未」の「二」に代えて「三」、24-1-3］
・000048\43464_ruby_yume.txt(21,317): ※［＃「未」の「二」に代えて「三」、24-1-11］
・000048\43464_ruby_yume.txt(28,47): ※［＃「未」の「二」に代えて「三」、24-2-15］
・000048\43464_ruby_yume.txt(45,189): ※［＃「糸＋（舎－口）」、24-3-42］
・000048\43464_ruby_yume.txt(52,337): ※［＃「未」の「二」に代えて「三」、24-6-39］
・000048\43464_ruby_yume.txt(70,45): ※［＃「二点しんにょう＋麦」、24-7-42］
・000048\43464_ruby_yume.txt(105,149): ※［＃「未」の「二」に代えて「三」、25-3-36］
・000048\43464_ruby_yume.txt(105,439): ※［＃「未」の「二」に代えて「三」、25-3-46］
・000048\43464_ruby_yume.txt(105,546): ※［＃「未」の「二」に代えて「三」、25-4-4］
・000048\43464_ruby_yume.txt(123,115): ※［＃「未」の「二」に代えて「三」、25-8-4］
・000048\43464_ruby_yume.txt(125,90): ※［＃「糸＋（舎－口）」、25-8-9］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(15,4): ※［＃変体仮名え、11-一-18］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(20,499): ※［＃変体仮名え、11-一-18］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(20,522): ※［＃変体仮名え、11-一-18］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(28,670): ※［＃変体仮名え、11-三-7］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(34,516): ※［＃変体仮名え、11-四-28］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(34,616): ※［＃変体仮名え、11-五-1］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(50,164): ※［＃変体仮名え、11-七-25］
・000048\45476_ruby_bundan_tamatsuki_monogatari.txt(50,407): ※［＃変体仮名え、11-七-32］
・000048\48803_ruby_shashinto_omoide.txt(16,4): ※［＃変体仮名え、8-5-2］
・000048\48803_ruby_shashinto_omoide.txt(54,78): ※［＃変体仮名え、8-5-2］
・000048\48803_ruby_shashinto_omoide.txt(54,136): ※［＃こと、8-5-3］
・000050\1087_ruby_onnakeizu.txt(646,239): ※［＃「そろべくそろ」の合字、59-2］
・000050\1087_ruby_onnakeizu.txt(936,149): ※［＃「火＋發」、91-4］
・000050\1087_ruby_onnakeizu.txt(3250,3): ※［＃「火＋發」、316-3］
・000050\1087_ruby_onnakeizu.txt(3791,386): ※［＃「さんずい＋散」、367-14］
・000050\1177_ruby_shunikki.txt(15,4): ※［＃「火＋發」、463-5］
・000050\1177_ruby_shunikki.txt(149,114): ※［＃「火＋發」、463-5］
・000050\1178_ruby_kaiiki.txt(261,126): ※［＃「さんずい＋散」、288-10］
・000050\1182_ruby_hebikui.txt(15,5): ※［＃「火＋發」、110-5］
・000050\1182_ruby_hebikui.txt(32,461): ※［＃「火＋發」、110-5］
・000050\1182_ruby_hebikui.txt(53,98): ※［＃「姉」の正字、「女＋※［＃第3水準1-85-57］のつくり」、112-8］
・000050\33204_ruby_iko.txt(133,44): ※［＃「添」のさんずいに代えて「口」、736-7］
・000050\33204_ruby_iko.txt(202,633): ※［＃「姉」の正字、「※［＃「柿」の正字、第3水準1-85-57］」の「木」に代えて「女」、749-12］
・000050\33204_ruby_iko.txt(202,689): ※［＃「姉」の正字、「※［＃「柿」の正字、第3水準1-85-57］」の「木」に代えて「女」、749-12］
・000050\3545_ruby_bangari.txt(103,52): ※［＃「辟／鳥」、436-12］
・000050\3548_ruby_hanto_ikkisho.txt(15,4): ※［＃「さんずい＋散」、70-7］
・000050\3548_ruby_hanto_ikkisho.txt(85,570): ※［＃「さんずい＋散」、70-7］
・000050\3586_ruby_kusa_meikyu.txt(96,174): ※［＃「さんずい＋散」、125-12］
・000050\3586_ruby_kusa_meikyu.txt(361,8): ※［＃「くさかんむり／更」、153-3］
・000050\3586_ruby_kusa_meikyu.txt(383,59): ※［＃「くさかんむり／更」、154-12］
・000050\3586_ruby_kusa_meikyu.txt(383,179): ※［＃「くさかんむり／更」、154-13］
・000050\3586_ruby_kusa_meikyu.txt(432,53): ※［＃「くさかんむり／更」、160-11］
・000050\3586_ruby_kusa_meikyu.txt(438,37): ※［＃「くさかんむり／更」、160-11］
・000050\3586_ruby_kusa_meikyu.txt(546,17): ※［＃「くさかんむり／更」、169-14］
・000050\3586_ruby_kusa_meikyu.txt(763,2): ※［＃「火＋發」、189-13］
・000050\3586_ruby_kusa_meikyu.txt(1083,79): ※［＃「くさかんむり／更」、221-3］
・000050\363_ruby_giketsu_kyoketsu.txt(15,4): ※［＃「月＋因」、6-15］
・000050\363_ruby_giketsu_kyoketsu.txt(35,39): ※［＃「月＋因」、6-15］
・000050\363_ruby_giketsu_kyoketsu.txt(38,136): ※［＃「目＋盧」、7-12］
・000050\363_ruby_giketsu_kyoketsu.txt(128,11): ※［＃「口＋世」、16-16］
・000050\363_ruby_giketsu_kyoketsu.txt(164,78): ※［＃「風にょう」＋「容」の「口」に代えて「又」、20-11］
・000050\363_ruby_giketsu_kyoketsu.txt(333,302): ※［＃「月＋因」、35-8］
・000050\363_ruby_giketsu_kyoketsu.txt(498,165): ※［＃「さんずい＋孛」、49-15］
・000050\363_ruby_giketsu_kyoketsu.txt(538,19): ※［＃「應」の「心」に代えて「言」、53-13］
・000050\363_ruby_giketsu_kyoketsu.txt(690,41): ※［＃「應」の「心」に代えて「言」、70-17］
・000050\3650_ruby_yosoki.txt(26,4): ※［＃「かぎかっこ、「、の左右反転」、137-5］
・000050\3653_ruby_utano_tateyama.txt(196,36): ※［＃「火＋發」、174-5］
・000050\3653_ruby_utano_tateyama.txt(348,65): ※［＃「火＋發」、192-6］
・000050\3654_ruby_konnyakubon.txt(292,38): ※［＃「火＋發」、248-3］
・000050\3654_ruby_konnyakubon.txt(294,9): ※［＃「火＋發」、248-5］
・000050\3655_ruby_daini_konnyakubon.txt(161,85): ※［＃「火＋發」、269-9］
・000050\3655_ruby_daini_konnyakubon.txt(336,127): ※［＃「参候」のくずし字、284-1］
・000050\3655_ruby_daini_konnyakubon.txt(336,211): ※［＃「参候」のくずし字、284-3］
・000050\3656_ruby_shiroganeno_ezu.txt(93,97): ※［＃「火＋發」、301-2］
・000050\3658_ruby_nanchi_shinju.txt(15,4): ※［＃「火＋發」、450-1］
・000050\3658_ruby_nanchi_shinju.txt(54,85): ※［＃「火＋發」、450-1］
・000050\3660_ruby_shinrono_maki.txt(62,181): ※［＃「参らせ候」のくずし字、65-2］
・000050\3660_ruby_shinrono_maki.txt(275,39): ※［＃「けものへん＋非」、88-17］
・000050\3660_ruby_shinrono_maki.txt(275,69): ※［＃「けものへん＋非」、88-18］
・000050\3660_ruby_shinrono_maki.txt(294,102): ※［＃「けものへん＋非」、91-16］
・000050\3661_ruby_kaihi_ichiyocho.txt(241,18): ※［＃「耳」を崩した変体仮名「に」、136-11］
・000050\3663_ruby_usukobai.txt(586,9): ※［＃「くさかんむり／哽のつくり」、71-10］
・000050\3663_ruby_usukobai.txt(597,14): ※［＃「くさかんむり／哽のつくり」、72-15］
・000050\4265_ruby_biwaden.txt(253,15): ※［＃感嘆符三つ、214-10］
・000050\4558_ruby_yunano_tamashii.txt(277,226): ※［＃丸い、407-8］
・000050\4563_ruby_akujuhen.txt(189,54): ※［＃「亠／（田＋久）」、200-7］
・000050\4563_ruby_akujuhen.txt(590,58): ※［＃「さんずい＋散」、240-3］
・000050\4563_ruby_akujuhen.txt(825,2): ※［＃「さんずい＋散」、261-9］
・000050\4563_ruby_akujuhen.txt(825,30): ※［＃「さんずい＋散」、261-9］
・000050\4564_ruby_hoshimise.txt(15,4): ※［＃「火＋發」、422-7］
・000050\4564_ruby_hoshimise.txt(66,14): ※［＃「火＋發」、422-7］
・000050\45755_ruby_torikaji.txt(150,3): ※［＃「日＋（士／冖／一／一／口／一）」、38-9］
・000050\4585_ruby_futa_omote.txt(109,42): ※［＃「圖」の「回」に代えて「面から一、二画目をとったもの」、447-13］
・000050\4585_ruby_futa_omote.txt(166,104): ※［＃「圖」の「回」に代えて「面から一、二画目をとったもの」、454-14］
・000050\4589_ruby_kaidan_onnano_wa.txt(27,131): ※［＃「さんずい＋散」、42-3］
・000050\4589_ruby_kaidan_onnano_wa.txt(32,90): ※［＃「さんずい＋散」、42-12］
・000050\4591_ruby_kikitaru_mama.txt(12,5): ※［＃「くさかんむり／倩」、58-7］
・000050\4591_ruby_kikitaru_mama.txt(25,135): ※［＃「くさかんむり／倩」、58-7］
・000050\4591_ruby_kikitaru_mama.txt(25,240): ※［＃「くさかんむり／倩」、58-7］
・000050\4635_ruby_kuroyuri.txt(452,65): ※［＃「火＋發」、262-14］
・000050\4635_ruby_kuroyuri.txt(468,78): ※［＃「なべぶた／（田＋久）」、264-5］
・000050\4635_ruby_kuroyuri.txt(589,23): ※［＃「火＋發」、276-15］
・000050\4635_ruby_kuroyuri.txt(863,11): ※［＃「火＋發」、308-13］
・000050\4739_ruby_sanjakukaku.txt(15,4): ※［＃「火＋發」、692-5］
・000050\4739_ruby_sanjakukaku.txt(31,109): ※［＃「火＋發」、692-5］
・000050\4743_ruby_hoshijoro.txt(351,78): ※［＃「穴かんむり／悉」、387-9］
・000050\4743_ruby_hoshijoro.txt(351,123): ※［＃「風にょう＋旋のつくり」、387-16］
・000050\4743_ruby_hoshijoro.txt(352,29): ※［＃「口＋睫のつくり」、387-18］
・000050\4743_ruby_hoshijoro.txt(443,75): ※［＃「火＋發」、396-5］
・000050\4743_ruby_hoshijoro.txt(945,218): ※［＃「女＋（「島」の「山」に代えて「衣」）」、442-7］
・000050\48330_ruby_shirobanano_asagao.txt(15,4): ※［＃小書き片仮名ン、426-4］
・000050\48330_ruby_shirobanano_asagao.txt(390,381): ※［＃小書き片仮名ン、426-4］
・000050\48387_ruby_indosarasa.txt(15,4): ※［＃「火＋發」、123-4］
・000050\48387_ruby_indosarasa.txt(25,33): ※［＃「火＋發」、123-4］
・000050\48387_ruby_indosarasa.txt(25,158): ※［＃「女＋島」の「山」に代えて「衣」、123-5］
・000050\48390_ruby_katsushikasunago.txt(142,71): ※［＃丸大、418-5］
・000050\48390_ruby_katsushikasunago.txt(142,83): ※［＃「重なった「へ」／一」、屋号を示す記号、418-5］
・000050\48390_ruby_katsushikasunago.txt(203,49): ※［＃「火＋發」、422-15］
・000050\48397_ruby_kifujin.txt(15,4): ※［＃「火＋發」、105-14］
